Id,Name,Shape Library,Page ID,Contained By,Group,Line Source,Line Destination,Source Arrow,Destination Arrow,Text Area 1
1,Page,,,,,,,,,Page 1
2,ImageSearchBlock2,Standard,1,,,,,,,
3,Text,Standard,1,,,,,,,"CoP leadership team gets built, Governance gets appointed"
4,Text,Standard,1,,,,,,,Month 3
5,Text,Standard,1,,,,,,,Month 4
6,Process,Flowchart Shapes,1,,,,,,,CoP leadership chooses a feature from backlog
7,Text,Standard,1,,,,,,,Initialization
8,Process,Flowchart Shapes,1,,,,,,,CoP leadership decides on virtual team to effeciently work on the enabler 
9,Process,Flowchart Shapes,1,,,,,,,"Team discusses plans, finances, equipments and details for the enabler"
10,Text,Standard,1,,,,,,,Month 5
11,Text,Standard,1,,,,,,,Month 6
12,Process,Flowchart Shapes,1,,,,,,,Team writes a report to send to Governance for review
13,Process,Flowchart Shapes,1,,,,,,,Ideation funnel is constantly groomed 
14,Text,Standard,1,,,,,,,Enabler gets approved and sent off to a team to be completed 
15,Process,Flowchart Shapes,1,,,,,,,Approval
16,Text,Standard,1,,,,,,,No Approval
17,Text,Standard,1,,,,,,,CoP leadership chooses a feature from backlog
18,Text,Standard,1,,,,,,,CoP leadership decides on virtual team to effeciently work on the enabler 
19,Process,Flowchart Shapes,1,,,,,,,"Virtual team discusses plans, finances, equipments and details for the enabler"
20,Text,Standard,1,,,,,,,Team writes a final report to send to Governance for review
21,Process,Flowchart Shapes,1,,,,,,,Approval
22,Text,Standard,1,,,,,,,No Approval
23,Text,Standard,1,,,,,,,Enabler gets approved and sent off to a team to be completed 
24,Line,,1,,,6,8,None,Arrow,
25,Line,,1,,,9,12,None,Arrow,
26,Line,,1,,,15,14,None,Arrow,
27,Line,,1,,,20,15,None,Arrow,
28,Line,,1,,,20,16,None,Arrow,
29,Line,,1,,,16,18,None,Arrow,
30,Line,,1,,,15,6,None,Arrow,
31,Line,,1,,,7,4,None,Arrow,
32,Line,,1,,,8,9,None,Arrow,
33,Line,,1,,,3,17,None,Arrow,
34,Line,,1,,,17,18,None,Arrow,
35,Line,,1,,,18,19,None,Arrow,
36,Line,,1,,,19,20,None,Arrow,
37,Line,,1,,,4,5,None,Arrow,
38,Line,,1,,,5,10,None,Arrow,
39,Line,,1,,,10,11,None,Arrow,
40,Line,,1,,,12,21,None,Arrow,
41,Line,,1,,,12,22,None,Arrow,
42,Line,,1,,,22,9,None,Arrow,
43,Line,,1,,,21,23,None,Arrow,
44,Line,,1,,,21,6,None,Arrow,
45,Line,,1,,,11,13,None,Arrow,
46,Line,,1,,,13,3,None,Arrow,
